algorithm,label,seed,training_job,step,raw_reward,loss,pg_loss,kl_loss,ppo_kl,grad_norm,advantage_mean,reinforce_pp_advantage_raw_mean,reinforce_pp_advantage_raw_std,reinforce_pp_advantage_normalized_mean,reinforce_pp_advantage_normalized_std,response_length_mean,truncated_ratio,step_time,response_tokens_per_second,effective_tokens_per_gpu_per_second
reinforce_plus_plus,REINFORCE++,42,937653,44,0.3125,-0.04821985215,-0.04821985215,,0,1.760847211,0.04821984842,0.2730697095,0.4572189748,0,1,952.71875,0.71875,72.19594574,422.2813416,3953.734619
reinforce_plus_plus,REINFORCE++,42,937653,45,0.40625,-0.08831784129,-0.08831784129,,0,1.75603354,0.08831778169,0.3447073102,0.4773704112,0,1,860.15625,0.5,67.43105316,408.1947327,3851.512939
reinforce_plus_plus,REINFORCE++,42,937653,46,0.6875,-0.05620440841,-0.05620440841,,0,1.468770742,0.05620442703,0.639536798,0.4686046243,0,1,942.9375,0.5625,73.49105072,410.5805969,3956.660889
reinforce_plus_plus,REINFORCE++,42,937653,47,0.65625,-0.1223840192,-0.1223840192,,0,1.663400292,0.1223839819,0.5733323693,0.4888133705,0,1,793.40625,0.3125,62.57787704,405.7184753,3752.106934
reinforce_plus_plus,REINFORCE++,42,937653,48,0.53125,-0.1040440351,-0.1040440351,,0,1.875252724,0.1040440425,0.4655436873,0.4963026643,0,1,770.6875,0.40625,60.11048889,410.2778015,3754.786377
reinforce_plus_plus,REINFORCE++,42,937653,49,0.65625,-0.05759014934,-0.05759014934,,0,1.560467362,0.05759015679,0.608936429,0.4787299931,0,1,856.8125,0.28125,67.76802063,404.5860901,3902.942139
reinforce_plus_plus_baseline,REINFORCE++-baseline,42,937654,0,0.75,-0.009805575013,-0.009805575013,0,0,1.335296392,0.009805575013,-0.003179180436,0.3242222071,0,1,872.375,0.375,275.2123413,101.4344025,2218.701416
reinforce_plus_plus_baseline,REINFORCE++-baseline,42,937654,1,0.65625,-0.03671644628,-0.03672260046,0.0006145535153,0,1.636481285,0.03672260046,-0.01605020836,0.4370668232,0,1,852.0625,0.4375,67.25274658,405.4258423,3861.489014
reinforce_plus_plus_baseline,REINFORCE++-baseline,42,937654,2,0.21875,-0.01216136664,-0.01216639578,0.0005018815864,0,1.471585035,0.01216640696,-0.00475118449,0.3905163109,0,1,864.09375,0.53125,66.90898895,413.2628479,3839.171631
reinforce_plus_plus_baseline,REINFORCE++-baseline,42,937654,3,0.21875,-0.00862587709,-0.008632559329,0.0006687407731,0,1.592085004,0.008632563055,-0.00295523135,0.3423368335,0,1,994,0.84375,75.0003891,424.1044922,4129.277344
reinforce_plus_plus_baseline,REINFORCE++-baseline,42,937654,4,0.15625,6.467103958e-06,0,0.0006471909001,0,1.507644176,5.587935448e-09,0,0.3006907105,0,1,1017.53125,0.90625,77.31755829,421.1333313,4004.382812
reinforce_plus_plus_baseline,REINFORCE++-baseline,42,937654,5,0.5,-0.02941945195,-0.02942503244,0.000558980566,0,1.412337184,0.02942503616,-0.01170104928,0.3976559639,0,1,986.15625,0.8125,74.41001892,424.0960999,3996.981934
reinforce_plus_plus_baseline,REINFORCE++-baseline,42,937654,6,0.3125,-0.03309167549,-0.03309847042,0.0006797030219,0,1.544685483,0.03309849277,-0.01136038173,0.3432295322,0,1,982.03125,0.75,74.83984375,419.896637,3987.95459
reinforce_plus_plus_baseline,REINFORCE++-baseline,42,937654,7,0.40625,-0.01157288626,-0.01157969609,0.0006809415645,0,1.463112712,0.0115796905,-0.005171746947,0.4466226697,0,1,1009.84375,0.8125,76.95592499,419.9157104,4010.206787
reinforce_plus_plus_baseline,REINFORCE++-baseline,42,937654,8,0.65625,-0.04084463045,-0.04085061699,0.0005986487959,0,1.448397875,0.04085059837,-0.01833762974,0.448895067,0,1,945.375,0.53125,71.6734314,422.0810852,3966.601318
reinforce_plus_plus_baseline,REINFORCE++-baseline,42,937654,9,0.40625,-0.03920228407,-0.03920901194,0.000672808208,0,1.479442835,0.03920901567,-0.01630048268,0.4157330394,0,1,966.46875,0.75,73.72805023,419.473999,3959.990234
reinforce_plus_plus_baseline,REINFORCE++-baseline,42,937654,10,0.25,6.636590115e-06,0,0.0006636589533,0,0.002317036735,0,0,0,0,0,1001.6875,0.875,75.67595673,423.5691223,3998.638916
reinforce_plus_plus_baseline,REINFORCE++-baseline,42,937654,11,0.59375,-0.05078852922,-0.05079559982,0.0007085924153,0,1.541620374,0.05079559237,-0.02236172557,0.4402295053,0,1,896.65625,0.46875,68.95339203,416.1216736,3921.95874
reinforce_plus_plus_baseline,REINFORCE++-baseline,42,937654,12,0.28125,-0.02385485172,-0.02386263013,0.0007774790283,0,1.545517325,0.02386265621,-0.007700538263,0.3227027655,0,1,963.8125,0.78125,73.28371429,420.8574829,3964.615479
reinforce_plus_plus_baseline,REINFORCE++-baseline,42,937654,13,0.59375,0.002424329519,0.002416193485,0.0008138236008,0,1.341509223,-0.002416200936,0.0008836349007,0.3657110333,0,1,853.1875,0.4375,65.60727692,416.1428528,3847.328125
reinforce_plus_plus_baseline,REINFORCE++-baseline,42,937654,14,0.5,8.558721674e-06,0,0.0008558722911,0,0.004480879754,0,0,0,0,0,875.46875,0.625,67.08058167,417.6320496,3841.556396
reinforce_plus_plus_baseline,REINFORCE++-baseline,42,937654,15,0.28125,8.158385754e-06,9.313225746e-09,0.000815720472,0,1.310923219,-3.725290298e-09,0,0.1712822616,0,1,954.40625,0.75,73.00047302,418.367157,3963.220703
reinforce_plus_plus_baseline,REINFORCE++-baseline,42,937654,16,0.34375,0.003415942192,0.003407943994,0.0008002712857,0,1.688921809,-0.003407951444,0.001003292855,0.2943961918,0,1,911.0625,0.75,70.76311493,411.9942932,3888.281982
reinforce_plus_plus_baseline,REINFORCE++-baseline,42,937654,17,0.75,-0.03063635342,-0.03064481542,0.0008463281556,0,1.438170075,0.0306448061,-0.01021049172,0.3331882954,0,1,907.84375,0.5,70.47922516,412.1923828,3943.354248
reinforce_plus_plus_baseline,REINFORCE++-baseline,42,937654,18,0.59375,-0.007706943899,-0.007715452462,0.0008511494379,0,1.324071288,0.007715460844,-0.002377057215,0.3080895543,0,1,964.625,0.65625,73.40370178,420.5237427,3986.194824
reinforce_plus_plus_baseline,REINFORCE++-baseline,42,937654,19,0.65625,-0.02936125547,-0.02937099338,0.0009735956555,0,1.414943814,0.02937099338,-0.01323157549,0.4504979253,0,1,951.5,0.59375,73.79953003,412.5771484,3961.173584
